time_s,ref_speed_kmh,segment,expected_phase,segment_desc
0.0,0.00,0,STOP_HOLD,start
0.1,0.09,1,STOP_HOLD,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.2,0.18,1,STOP_HOLD,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.3,0.27,1,STOP_HOLD,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.4,0.36,1,STOP_HOLD,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.5,0.45,1,STOP_HOLD,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.6,0.54,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.7,0.63,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.8,0.72,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
0.9,0.81,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.0,0.90,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.1,0.99,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.2,1.08,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.3,1.17,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.4,1.26,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.5,1.35,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.6,1.44,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.7,1.53,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.8,1.62,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
1.9,1.71,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.0,1.80,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.1,1.89,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.2,1.98,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.3,2.07,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.4,2.16,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.5,2.25,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.6,2.34,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.7,2.43,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.8,2.52,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
2.9,2.61,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.0,2.70,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.1,2.79,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.2,2.88,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.3,2.97,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.4,3.06,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.5,3.15,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.6,3.24,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.7,3.33,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.8,3.42,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
3.9,3.51,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.0,3.60,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.1,3.69,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.2,3.78,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.3,3.87,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.4,3.96,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.5,4.05,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.6,4.14,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.7,4.23,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.8,4.32,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
4.9,4.41,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.0,4.50,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.1,4.59,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.2,4.68,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.3,4.77,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.4,4.86,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.5,4.95,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.6,5.05,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.7,5.14,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.8,5.23,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
5.9,5.32,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.0,5.41,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.1,5.50,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.2,5.59,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.3,5.68,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.4,5.77,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.5,5.86,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.6,5.95,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
